Listing Price,Bed,Bath,Neighborhood,Latitude,Longitude,Address
25000000,5,8,Upper East Side,40.765311,-73.965221,163 East 64th Street
24500000,5,5,West Village,40.731579,-74.002221,23 Cornelia St
78950000,0,0,Carnegie Hill,40.783883,-73.958657,1083a Fifth Avenue
25000000,4,3,West Village,40.736132,-73.998675,118 West 12th Street
32500000,3,4,Midtown East,40.760826,-73.971495,Bspacious Retreat In The Clouds./b
26000000,6,7,Tribeca,40.722904,-74.010791,70 Vestry Street
28000000,3,5,Upper East Side,40.769989,-73.964791,720 Park Avenue Apt 12a
35000000,4,6,Upper East Side,40.762996,-73.969895,502 Park Avenue
27900000,5,6,Upper East Side,40.777978,-73.962989,993 Fifth Avenue
28000000,4,4,Tribeca,40.717943,-74.006408,56 Leonard Street
26950000,5,5,Flatiron,40.740372,-73.988829,23 East 22nd Street Ph55/56
39750000,4,5,Midtown,40.764574,-73.973677,1 Central Park South Ph 2009
65000000,5,8,Upper East Side,40.768590,-73.969738,New York Ny 10065
35000000,4,4,Upper East Side,40.762996,-73.969895,502 Park Avenue
39000000,0,0,Upper East Side,40.772758,-73.962475,807 Park Ave..
40000000,7,8,Chelsea,40.747141,-74.006604,551 West 21st Street
29750000,3,4,Midtown East,40.760826,-73.971495,432 Park Avenue
22500000,9,10,Soho,40.727401,-74.002344,54 Macdougal Street
26500000,9,14,Tribeca,40.719196,-74.003763,42 Walker Street
44750000,4,6,Midtown East,40.760826,-73.971495,432 Park Avenue
29500000,5,10,Carnegie Hill,40.783883,-73.958657,1083 Fifth Avenue
29500000,7,7,Carnegie Hill,40.783170,-73.958259,3 East 89th Street
38000000,4,4,Lincoln Square,40.769471,-73.980905,Bgrand Corner 4 Bedroom Home With Stunning Park Views /b
40000000,6,6,Upper East Side,40.772557,-73.965666,18 East 73rd Street
40000000,6,6,Upper East Side,40.772557,-73.965666,18 East 73rd Street
45000000,4,4,Tribeca,40.721185,-74.008377,145 Hudson Street
24995000,7,10,Tribeca,40.718513,-74.009755,13 Harrison Street
24995000,7,10,Tribeca,40.718538,-74.009773,13 Harrison Street
40000000,6,0,Upper East Side,40.764985,-73.970845,19 East 61st Street
26950000,5,5,Flatiron,40.740372,-73.988829,23 East 22nd Street Ph55/56
29000000,4,5,Upper East Side,40.771210,-73.964850,40 East 72nd Street Ph
65000000,5,6,Tribeca,40.722904,-74.010791,70 Vestry Street
35000000,7,15,Tribeca,40.721412,-74.009463,11 Hubert Street
52000000,4,4,Midtown,40.765390,-73.978960,One57 157 West 57th Street
36500000,8,7,Lincoln Square,40.773253,-73.978541,New York Ny 10065
23500000,6,7,Greenwich Village,40.733572,-73.994488,14 East 11th Street
24500000,5,3,West Village,40.736532,-74.004662,Blandmark Living In The West Village/B
59500000,8,9,Greenwich Village,40.733899,-73.996289,11 13 West 10th Street
42000000,4,5,Chelsea,40.741367,-73.998870,The Ultimate Downtown Penthouse
59500000,8,9,Greenwich Village,40.733899,-73.996289,11 13 West 10th Street
