Listing Price,Bed,Bath,Neighborhood,Latitude,Longitude,Address
39500000,3,4,Midtown,40.764574,-73.973677,The Plaza Residences 1 Central Park South
35000000,4,4,Tribeca,40.717943,-74.006408,56 Leonard St Ph53
27000000,7,5,Upper East Side,40.771144,-73.962426,128 East 73rd Street
20750000,4,4,Flatiron,40.739920,-73.987240,Madison Square Park Tower 45 East 22nd Street
23000000,6,6,Upper East Side,40.767369,-73.966688,640 Park Avenue
23000000,6,6,Upper East Side,40.767369,-73.966688,640 Park Avenue
35000000,7,11,Upper East Side,40.773810,-73.964849,10 East 75th Street
22645000,3,4,Financial District,40.708782,-74.015077,50 West Street Residence Ph59 B
23500000,3,3,Lincoln Square,40.769471,-73.980905,Bperched On The 30th Floor Of The Tower At 15 Central Park West /b
23990000,11,7,Flatiron,40.737986,-73.994209,7 West 16th Street
20000000,5,4,Upper West Side (72nd - 96th Street),40.789124,-73.966569,320 Central Park West
40000000,5,7,Upper East Side,40.767716,-73.968950,17 East 65th Street
38000000,6,6,Soho,40.725169,-73.998095,158 Mercer Street
38000000,6,6,Soho,40.725169,-73.998095,158 Mercer Street
22000000,6,5,Upper East Side,40.768334,-73.966551,49 East 67th Street
24000000,5,6,Upper East Side,40.771308,-73.963519,765 Park Avenue Apt 11b
29500000,3,4,Upper East Side,40.779710,-73.961695,1020 Fifth Avenue
29500000,3,4,Upper East Side,40.779710,-73.961695,1020 Fifth Avenue
26400000,4,4,Financial District,40.713087,-74.008214,2 Park Place Apt 31a
25000000,5,7,Upper East Side,40.770489,-73.963947,737 Park Avenue Apt 12a
21325000,4,4,Financial District,40.713087,-74.008214,2 Park Place Apt 40ab
20000000,0,0,Midtown East,40.760016,-73.964944,242 East 58th Street
29950000,5,5,Midtown,40.765390,-73.978960,One57 157 West 57th Street
21500000,6,5,Upper East Side,40.769408,-73.963918,132 East 70th Street
39800000,5,10,Sutton Place,40.757912,-73.959576,7 Sutton Square
29950000,4,4,West Village,40.734011,-74.009069,165 Charles Street
59000000,4,5,Lincoln Square,40.769471,-73.980905,15 CPW 15 Central Park West
22950000,6,7,Greenwich Village,40.733801,-73.997730,47 West 9th Street
36800000,5,12,Chelsea,40.742827,-74.003309,West Chelsea Mansion
21500000,6,5,Upper East Side,40.769408,-73.963918,132 East 70th Street
25000000,4,3,East Village,40.727610,-73.990996,210 East 5th Street
29500000,6,6,Carnegie Hill,40.786495,-73.956021,3 East 94th Street
35000000,7,9,Upper East Side,40.777128,-73.962536,12 East 80th Street
35000000,7,5,Upper East Side,40.777170,-73.962609,12 East 80th Street
29500000,6,8,Carnegie Hill,40.786106,-73.955506,Exquisite 25 Wide Townhouse In Carnegie Hill
35000000,7,9,Upper East Side,40.777170,-73.962609,12 East 80th Street
29500000,4,6,Upper East Side,40.770575,-73.964357,740 Park Avenue Apt 6/7a
27000000,5,6,Upper East Side,40.778334,-73.962724,New York Ny 10028
29500000,4,6,Upper East Side,40.770575,-73.964357,740 Park Avenue
34750000,3,4,Midtown East,40.760826,-73.971495,432 Park Avenue
33750000,3,4,Midtown East,40.760826,-73.971495,432 Park Avenue
33750000,3,4,Midtown East,40.760826,-73.971495,432 Park Avenue
34750000,3,4,Midtown East,40.760826,-73.971495,432 Park Avenue
58900000,4,4,Midtown,40.764574,-73.973677,The Plaza Residences 1 Central Park South
25000000,5,4,Carnegie Hill,40.786870,-73.955400,3 East 95th Street
82000000,6,8,Midtown East,40.760826,-73.971495,432 Park Avenue
24350000,4,5,Upper East Side,40.765003,-73.966970,101 East 63rd Street
27900000,5,6,Upper East Side,40.777978,-73.962989,993 Fifth Avenue
26500000,5,7,Greenwich Village,40.735293,-73.995359,19 West 12th Street
72000000,0,0,Upper East Side,40.769577,-73.966260,50 East 69th Street
23000000,0,0,East Village,40.726532,-73.986425,357 359 Sixth Avenue
72000000,0,0,Upper East Side,40.769577,-73.966260,50 East 69th Street
37500000,3,4,Midtown East,40.761446,-73.968237,151 East 58th Street
37500000,3,4,Midtown East,40.761446,-73.968237,151 East 58th Street
22000000,4,4,Midtown,40.760575,-73.976480,Baccarat Hotel Residences 20 West 53rd Street
22500000,4,4,Tribeca,40.722904,-74.010791,70 Vestry Street
22500000,7,3,Lincoln Square,40.776240,-73.989540,100 Riverside Blvd. 26th Floor
32000000,4,5,Upper East Side,40.763572,-73.967208,525 Park Avenue
25000000,0,3,Nolita,40.722856,-73.994450,23 Prince Street
30000000,3,4,Financial District,40.712714,-74.008898,Park Place Apt#ph82
40000000,5,7,Lincoln Square,40.780600,-73.987270,240 Riverside Boulevard
29000000,3,3,Lincoln Square,40.769471,-73.980905,New York Ny 10023
35000000,8,9,Midtown East,40.759183,-73.976692,641 Fifth Avenue
29500000,8,9,East Village,40.728927,-73.991008,62 Cooper Square
48500000,5,5,West Village,40.730313,-74.008021,160 Leroy Street
29500000,4,4,West Village,40.730313,-74.008021,160 Leroy Street
22500000,4,4,Midtown,40.768051,-73.981365,80 Columbus Circle
50000000,5,6,Chelsea,40.751696,-74.003985,West 28th Street Apt#ph37
34500000,6,6,Lincoln Square,40.768882,-73.981307,Trump International 1 Central Park West
24500000,5,3,West Village,40.736738,-74.004362,74 Bank Street
25000000,0,3,Nolita,40.722856,-73.994450,23 Prince Street
34500000,7,8,Upper East Side,40.776014,-73.963540,New York Ny 10021
35000000,4,3,West Village,40.733946,-74.009292,150 Charles Street
35000000,4,3,West Village,40.733946,-74.009292,150 Charles Street
38500000,8,10,Upper East Side,40.776595,-73.962817,12 East 79th Street
38500000,8,7,Upper East Side,40.776595,-73.962817,12 East 79th Street
24500000,0,0,Upper East Side,40.768336,-73.967105,39 East 67th Street
29500000,4,4,Upper East Side,40.772650,-73.963377,33 East 74th Street 33 East 74th Street
50750000,4,4,Midtown,40.761150,-73.977525,53 West 53rd Street
120000000,7,10,Upper East Side,40.767763,-73.970467,Fifth Avenue
96000000,7,10,Upper East Side,40.767763,-73.970467,Fifth Avenue
57000000,5,7,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
38000000,3,4,Midtown East,40.760826,-73.971495,432 Park Avenue
24350000,4,4,Upper East Side,40.765003,-73.966970,101 East 63rd Street
24995000,5,8,Carnegie Hill,40.783885,-73.958038,15 East 90th Street
20000000,6,1,Upper East Side,40.771708,-73.965207,31 East 72nd Street
24995000,5,5,Carnegie Hill,40.783885,-73.958038,15 East 90th Street
40000000,3,4,Lincoln Square,40.780600,-73.987270,240 Riverside Boulevard
22500000,0,0,Tribeca,40.723227,-74.010358,431 Washington Street
40500000,3,4,Midtown East,40.760826,-73.971495,432 Park Avenue
20050000,6,6,Upper East Side,40.769989,-73.964791,720 Park Avenue
32000000,4,5,Upper East Side,40.763572,-73.967208,525 Park Avenue
36500000,8,9,Lincoln Square,40.768871,-73.968376,7 East 67th Street
24540000,3,3,Financial District,40.708782,-74.015077,50 West Street Residence Ph 61b
20305000,3,3,Financial District,40.708782,-74.015077,50 West Street Residence Ph 61a
23500000,3,4,Midtown,40.764574,-73.973677,1 Central Park South
39000000,0,0,Upper East Side,40.772657,-73.962594,807 Park Avenue
34950000,6,7,Carnegie Hill,40.782728,-73.959172,7 East 88th Street
86000000,7,8,Upper East Side,40.764506,-73.972840,781 Fifth Avenue
22500000,4,4,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
50000000,3,3,Chelsea,40.747141,-74.006604,551 West 21st Street Pha
70000000,5,5,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
24995000,5,5,Carnegie Hill,40.783885,-73.958038,15 East 90th Street
29900000,6,5,Upper East Side,40.774797,-73.961280,870 Park Avenue
37500000,0,0,Upper East Side,40.769311,-73.958188,38 40 East 75th Street
24995000,5,7,Upper East Side,40.767607,-73.967406,46 East 66th Street
22000000,5,6,Upper East Side,40.764406,-73.967576,132 East 62nd Street
25000000,16,16,Upper East Side,40.770740,-73.959856,1277 Third Avenue
84500000,0,0,Upper East Side,40.765908,-73.971128,8 East 62nd Street
29500000,5,5,West Village,40.733402,-74.008718,275 West 10th Street Phc
65000000,4,4,Midtown East,40.758589,-73.971573,One Hundred East Fifty Third Street By Foster + Partners
58500000,4,7,Nolita,40.724794,-73.995519,293 Lafayette Street
26800000,5,6,Upper East Side,40.766299,-73.966162,125 East 65th Street
22500000,4,5,Tribeca,40.720476,-74.006096,11 Beach Street
78000000,7,8,Upper East Side,40.764506,-73.972840,781 Fifth Avenue
25000000,4,4,Chelsea,40.751711,-74.004019,West 28th Street Apt#32
29900000,6,5,Upper East Side,40.774796,-73.961282,870 Park Avenue
22995000,6,6,Lincoln Square,40.774124,-73.982348,Grand Millennium 1965 Broadway
40250000,3,3,Midtown East,40.760826,-73.971495,432 Park Avenue
39750000,3,3,Midtown East,40.760826,-73.971495,432 Park Avenue
29500000,4,4,Lincoln Square,40.769471,-73.980905,15 Central Park West Three Bedroom With Library
26900000,8,8,Midtown,40.764574,-73.973677,1 Central Park South
22500000,5,6,Tribeca,40.724878,-74.010083,471 Washington Street
32950000,5,6,Midtown,40.768051,-73.981365,80 Columbus Circle Apt 75c/75e
70000000,5,5,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
24500000,4,4,Greenwich Village,40.733830,-73.992010,37 East 12th Street
59000000,6,5,Lincoln Square,40.776879,-73.982056,145 Central Park West Ph26c
27500000,5,5,Upper East Side,40.770575,-73.964357,740 Park Avenue
26500000,5,6,West Village,40.736173,-74.000069,145 West 11th Street
26500000,5,7,West Village,40.736173,-74.000069,141 West 11th Street
57000000,5,7,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
39000000,4,4,Upper East Side,40.772650,-73.963377,33 East 74th Street 33 East 74th Street
22500000,0,0,Tribeca,40.719538,-74.002998,431 Washington Street
55000000,5,6,Tribeca,40.723050,-74.009120,443 Greenwich Street Ph A
33000000,6,6,Midtown,40.765821,-73.982869,The Park Imperial 230 West 56th Street
34950000,6,7,Carnegie Hill,40.782728,-73.959172,7 East 88th Street
22500000,4,4,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
50000000,3,3,Chelsea,40.747141,-74.006604,551 West 21st Street Pha
70000000,5,5,Upper East Side,40.765145,-73.972364,795 Fifth Avenue Apt 30/31
25000000,4,5,New York,40.726443,-74.003637,180 Ave Of Americas
21500000,4,2,Upper East Side,40.766214,-73.971562,810 Fifth Avenue
